
映像名称                       PID 会话名              会话#       内存使用 
WorkBuddy.exe                13644 Console                    1    172,844 K
WorkBuddy.exe                14000 Console                    1    107,908 K
WorkBuddy.exe                14044 Console                    1     56,576 K
WorkBuddy.exe                14332 Console                    1    401,732 K
WorkBuddy.exe                 4408 Console                    1    229,784 K
WorkBuddy.exe                 4392 Console                    1     94,172 K
WorkBuddy.exe                13792 Console                    1     58,124 K
svchost.exe                  13336 Services                   0     11,648 K
WorkBuddy.exe                10100 Console                    1     94,224 K
WorkBuddy.exe                10668 Console                    1    231,236 K
cmd.exe                      14184 Console                    1      6,164 K
conhost.exe                   2320 Console                    1      7,704 K
node.exe                     14236 Console                    1     37,980 K
WorkBuddy.exe                13884 Console                    1    284,256 K
editor_sdk.exe               13908 Console                    1     44,488 K
conhost.exe                   4184 Console                    1      7,236 K
ApplicationFrameHost.exe      5944 Console                    1     27,464 K
svchost.exe                  13624 Services                   0     10,456 K
svchost.exe                  10232 Console                    1     11,880 K
java.exe                      3204 Console                    1    252,652 K
svchost.exe                   8600 Services                   0     15,112 K
WorkBuddy.exe                13924 Console                    1    181,944 K
cmd.exe                       2956 Console                    1      5,596 K
conhost.exe                  10216 Console                    1      6,956 K
node.exe                     12392 Console                    1     40,596 K
sandbox-cli.exe              10520 Console                    1     12,908 K
conhost.exe                  15264 Console                    1      6,780 K
sandbox-cli-gc.exe           14764 Console                    1      3,976 K
svchost.exe                   9164 Services                   0     10,944 K
SearchProtocolHost.exe        9496 Services                   0     13,804 K
svchost.exe                   1608 Console                    1     11,344 K
svchost.exe                  11216 Console                    1     10,916 K
SystemSettings.exe           12032 Console                    1      2,480 K
msedge.exe                    7100 Console                    1    156,672 K
msedge.exe                    7420 Console                    1     13,960 K
msedge.exe                   13172 Console                    1     56,088 K
msedge.exe                     276 Console                    1     43,724 K
elevation_service.exe         3748 Services                   0      9,928 K
msedge.exe                    3324 Console                    1     22,864 K
msedge.exe                    6048 Console                    1     49,696 K
msedge.exe                    3380 Console                    1    121,552 K
msedge.exe                   15228 Console                    1      9,568 K
msedge.exe                   15176 Console                    1     31,220 K
YunDetectService.exe         11804 Console                    1     17,048 K
MsMpEng.exe                   3424 Services                   0    457,512 K
WinRAR.exe                   11720 Console                    1     26,220 K
ToDesk.exe                   12948 Services                   0     56,624 K
ToDesk.exe                    5496 Console                    1    256,608 K
bash.exe                      1216 Console                    1      9,176 K
grep.exe                      3624 Console                    1      7,228 K
cmd.exe                      15316 Console                    1      7,128 K
NisSrv.exe                    9336 Services                   0     13,992 K
bash.exe                      7352 Console                    1      9,168 K
cmd.exe                       9092 Console                    1      7,128 K
bash.exe                     12884 Console                    1      9,160 K
cmd.exe                       2260 Console                    1      7,124 K
bash.exe                      1556 Console                    1      9,232 K
cmd.exe                       3396 Console                    1      7,132 K
tail.exe                     11404 Console                    1      7,084 K
bash.exe                     11844 Console                    1      9,172 K
cmd.exe                       5764 Console                    1      7,132 K
bash.exe                     12612 Console                    1      9,208 K
cmd.exe                      10976 Console                    1      7,116 K
tail.exe                     10324 Console                    1      7,100 K
bash.exe                     14244 Console                    1      9,180 K
cmd.exe                       5960 Console                    1      7,148 K
tail.exe                      6956 Console                    1      7,116 K
bash.exe                      1944 Console                    1      9,212 K
cmd.exe                      12412 Console                    1      7,140 K
tail.exe                      9284 Console                    1      7,120 K
bash.exe                     13820 Console                    1      9,156 K
cmd.exe                       5044 Console                    1      7,128 K
bash.exe                      8320 Console                    1      9,604 K
cmd.exe                      13796 Console                    1      7,520 K
svchost.exe                  11328 Services                   0      7,768 K
SearchFilterHost.exe         15108 Services                   0      7,640 K
msedge.exe                    9824 Console                    1     60,248 K
WmiPrvSE.exe                  2380 Services                   0     12,940 K
bash.exe                      4636 Console                    1      6,484 K
conhost.exe                   9020 Console                    1     11,556 K
bash.exe                     14860 Console                    1     10,352 K
bash.exe                      4044 Console                    1      8,452 K
tasklist.exe                 13036 Console                    1     10,920 K
